"","date","median","lower","upper","candidate"
"1",2017-11-30,16.7766769926572,15.2215943543648,18.3989963792013,"Tymoshenko"
"2",2017-12-01,16.6874702978504,15.1191849728345,18.3358760984938,"Tymoshenko"
"3",2017-12-02,16.5984325901055,15.0247702485513,18.2569060835718,"Tymoshenko"
"4",2017-12-03,16.5063019468588,14.8962636027149,18.1744219000238,"Tymoshenko"
"5",2017-12-04,16.4285648081929,14.8096226930275,18.0971539568557,"Tymoshenko"
"6",2017-12-05,16.3423458589362,14.7043268482473,18.0223939985581,"Tymoshenko"
"7",2017-12-06,16.249473506328,14.6212349464662,17.9325504176554,"Tymoshenko"
"8",2017-12-07,16.1610369117846,14.5200230351218,17.8424891366744,"Tymoshenko"
"9",2017-12-08,16.0671405570811,14.4217371316813,17.7514221308812,"Tymoshenko"
"10",2017-12-09,15.9965293840469,14.3045697022193,17.6844303835836,"Tymoshenko"
"11",2017-12-10,15.9036463803984,14.2405342206109,17.6150663517545,"Tymoshenko"
"12",2017-12-11,15.830393226534,14.1451533533797,17.5383497268706,"Tymoshenko"
"13",2017-12-12,15.7353402561019,14.0511175779735,17.4818847311339,"Tymoshenko"
"14",2017-12-13,15.6489032631749,13.9789224235812,17.3761667452859,"Tymoshenko"
"15",2017-12-14,15.5749577445916,13.9052501743856,17.3023181038404,"Tymoshenko"
"16",2017-12-15,15.5274919289214,13.8706333782599,17.2663870791675,"Tymoshenko"
"17",2017-12-16,15.4868724987821,13.8224876873288,17.2228133215034,"Tymoshenko"
"18",2017-12-17,15.4361801470465,13.7583509686292,17.1754030089456,"Tymoshenko"
"19",2017-12-18,15.4039283612069,13.6995948354613,17.14024484232,"Tymoshenko"
"20",2017-12-19,15.3665351690406,13.6502150244839,17.1365399460349,"Tymoshenko"
"21",2017-12-20,15.3409612836265,13.6141335794133,17.1114368372365,"Tymoshenko"
"22",2017-12-21,15.3280241597899,13.5792812163009,17.1034713817778,"Tymoshenko"
"23",2017-12-22,15.3009952716757,13.5678256425828,17.1070757841159,"Tymoshenko"
"24",2017-12-23,15.2753071691712,13.5605930154885,17.0694664012008,"Tymoshenko"
"25",2017-12-24,15.252907169788,13.4905355895135,17.0594369213963,"Tymoshenko"
"26",2017-12-25,15.2353098168877,13.4694608591401,17.0569485417127,"Tymoshenko"
"27",2017-12-26,15.2216643486272,13.4261375008773,17.0510147479939,"Tymoshenko"
"28",2017-12-27,15.1941605309045,13.3985078682033,17.0362673508091,"Tymoshenko"
"29",2017-12-28,15.1846503285058,13.3792323740598,17.0045863272041,"Tymoshenko"
"30",2017-12-29,15.1640560412519,13.3418093756233,17.0068191743597,"Tymoshenko"
"31",2017-12-30,15.1395528532907,13.2919537268286,17.0152823798832,"Tymoshenko"
"32",2017-12-31,15.1089098334114,13.2550784526114,17.0183355888097,"Tymoshenko"
"33",2018-01-01,15.0920720424377,13.1953010842825,16.9787385749262,"Tymoshenko"
"34",2018-01-02,15.0789935578592,13.154652748798,16.967303240923,"Tymoshenko"
"35",2018-01-03,15.0567546840118,13.1114992925913,16.9727457300535,"Tymoshenko"
"36",2018-01-04,15.0372345207606,13.0780065690693,16.9504435697513,"Tymoshenko"
"37",2018-01-05,15.0159497699097,13.0542711881338,16.9640715502399,"Tymoshenko"
"38",2018-01-06,14.9895413045346,13.0217786307393,16.9610744666143,"Tymoshenko"
"39",2018-01-07,14.969051681277,12.9639455685086,16.9689828961025,"Tymoshenko"
"40",2018-01-08,14.9477152909555,12.9183061045033,16.9735474065737,"Tymoshenko"
"41",2018-01-09,14.9237538691132,12.8832124038333,16.9442171505693,"Tymoshenko"
"42",2018-01-10,14.9071602870702,12.8568871160031,16.9284539877603,"Tymoshenko"
"43",2018-01-11,14.8962051591753,12.8146245719631,16.9156464216448,"Tymoshenko"
"44",2018-01-12,14.8753173892692,12.773679109314,16.8980806386562,"Tymoshenko"
"45",2018-01-13,14.8491442126481,12.7412212299951,16.8662034848901,"Tymoshenko"
"46",2018-01-14,14.8298316306102,12.7159341052189,16.8531936645832,"Tymoshenko"
"47",2018-01-15,14.817996863244,12.6611004442026,16.8593789417387,"Tymoshenko"
"48",2018-01-16,14.7903136868382,12.5927548301818,16.8455171716768,"Tymoshenko"
"49",2018-01-17,14.7662180319024,12.5961460745839,16.8320812161748,"Tymoshenko"
"50",2018-01-18,14.7428526955936,12.5759726116918,16.8133210791123,"Tymoshenko"
"51",2018-01-19,14.723425895883,12.5329238612642,16.8140950556819,"Tymoshenko"
"52",2018-01-20,14.6959883978762,12.5238879727698,16.7805632619619,"Tymoshenko"
"53",2018-01-21,14.6822289890605,12.4912676089307,16.7838861910346,"Tymoshenko"
"54",2018-01-22,14.6639146716206,12.5057739695179,16.7769187743218,"Tymoshenko"
"55",2018-01-23,14.6437226228126,12.448403315975,16.7527580355439,"Tymoshenko"
"56",2018-01-24,14.6215710523367,12.4148580220273,16.7259224785583,"Tymoshenko"
"57",2018-01-25,14.5989869388729,12.3833783686293,16.7136458056937,"Tymoshenko"
"58",2018-01-26,14.5857925276677,12.3524782408373,16.6811176385429,"Tymoshenko"
"59",2018-01-27,14.5629849450706,12.3692982310871,16.6776765513908,"Tymoshenko"
"60",2018-01-28,14.5340899599776,12.336520685353,16.6748527717461,"Tymoshenko"
"61",2018-01-29,14.5141115810352,12.3159997159541,16.630817036432,"Tymoshenko"
"62",2018-01-30,14.4947343473269,12.2923947968848,16.6151178332377,"Tymoshenko"
