"","date","median","lower","upper","candidate"
"932",2019-03-02,11.4157019707242,10.3746157473019,12.4386297429952,"Poroshenko"
"933",2019-03-03,11.4075374368848,10.3583573721798,12.4404410780704,"Poroshenko"
"934",2019-03-04,11.3855094811103,10.3520288590777,12.4491657097043,"Poroshenko"
"935",2019-03-05,11.3821308146526,10.3516211917477,12.4217292615177,"Poroshenko"
"936",2019-03-06,11.3659633125213,10.321346525091,12.4399263392243,"Poroshenko"
"937",2019-03-07,11.3721437415102,10.3299184027614,12.4312749616592,"Poroshenko"
"938",2019-03-08,11.3919171390001,10.2783005916244,12.4901474158262,"Poroshenko"
"939",2019-03-09,11.4035990801899,10.2494854451188,12.5439839716571,"Poroshenko"
"940",2019-03-10,11.4217073502647,10.2151801350517,12.5991247082416,"Poroshenko"
"941",2019-03-11,11.423499643438,10.1434593315105,12.6572371292747,"Poroshenko"
"942",2019-03-12,11.4201974036044,10.0709001224365,12.7120971600393,"Poroshenko"
"943",2019-03-13,11.4225457472218,10.0367506359882,12.766515305681,"Poroshenko"
"944",2019-03-14,11.4115897217876,9.96778684123527,12.8240842531752,"Poroshenko"
"945",2019-03-15,11.398497790395,9.90586496038447,12.8657629434343,"Poroshenko"
"946",2019-03-16,11.4056121179098,9.85292442083875,12.9133681442747,"Poroshenko"
"947",2019-03-17,11.4111951988903,9.81284403077858,12.9552361889851,"Poroshenko"
"948",2019-03-18,11.4052221846417,9.73551859793854,13.0213180230733,"Poroshenko"
"949",2017-11-30,7.78201503351057,5.91591930041273,9.64058641463978,"Zelensky"
"950",2017-12-01,7.77628255716892,5.87420750358917,9.66273534231743,"Zelensky"
"951",2017-12-02,7.76379914611469,5.80960737574435,9.70530639790853,"Zelensky"
"952",2017-12-03,7.74096910456705,5.76679687997016,9.70397561924144,"Zelensky"
"953",2017-12-04,7.73043718247974,5.71945472043999,9.74942527649669,"Zelensky"
"954",2017-12-05,7.70725910295855,5.67258234952752,9.78074997464062,"Zelensky"
"955",2017-12-06,7.69953921070734,5.65065229853058,9.84195294467902,"Zelensky"
"956",2017-12-07,7.6934506074331,5.58986313279368,9.86173261651738,"Zelensky"
"957",2017-12-08,7.68322551718572,5.54691507061152,9.87986787159859,"Zelensky"
"958",2017-12-09,7.67325941186552,5.50907139995062,9.89884643238119,"Zelensky"
"959",2017-12-10,7.664347895688,5.46245449912214,9.9321685481031,"Zelensky"
"960",2017-12-11,7.65697194757226,5.41786336393306,9.94812956394384,"Zelensky"
"961",2017-12-12,7.65927532443888,5.37262289622435,9.96009789462017,"Zelensky"
"962",2017-12-13,7.63735458964556,5.31233724982678,9.97896418223889,"Zelensky"
"963",2017-12-14,7.62527835402025,5.283562633577,9.9665985495345,"Zelensky"
"964",2017-12-15,7.61646968168536,5.257097982308,9.96845836596426,"Zelensky"
"965",2017-12-16,7.59625491853456,5.2133752610546,9.99561258297784,"Zelensky"
"966",2017-12-17,7.57833563661531,5.17967385362983,10.0126476482716,"Zelensky"
"967",2017-12-18,7.56198357342072,5.13988997735523,10.0213676882234,"Zelensky"
"968",2017-12-19,7.56147187888225,5.10013093468526,10.0462546476285,"Zelensky"
"969",2017-12-20,7.54182062669894,5.06990419768313,10.0517885125024,"Zelensky"
"970",2017-12-21,7.53664951414435,5.0302051965899,10.0434815691921,"Zelensky"
"971",2017-12-22,7.52416587604942,5.01345140235253,10.0733861889447,"Zelensky"
"972",2017-12-23,7.50383888752838,4.94501767772877,10.057461121444,"Zelensky"
"973",2017-12-24,7.50146465791789,4.91518692593854,10.0896236861849,"Zelensky"
"974",2017-12-25,7.49656661387434,4.90994456687792,10.0999439512077,"Zelensky"
"975",2017-12-26,7.47109261673704,4.84691996781873,10.0678471854397,"Zelensky"
"976",2017-12-27,7.45997336118264,4.80405409056198,10.0691413345202,"Zelensky"
"977",2017-12-28,7.4317443293084,4.75376924254563,10.0812075868174,"Zelensky"
"978",2017-12-29,7.42666027445943,4.74472815785024,10.1224968773176,"Zelensky"
"979",2017-12-30,7.41584582770299,4.66353388535768,10.1430598639432,"Zelensky"
"980",2017-12-31,7.40566870104481,4.66770550573424,10.1659752859896,"Zelensky"
"981",2018-01-01,7.38042337836435,4.61663707035166,10.1352996553796,"Zelensky"
"982",2018-01-02,7.37190750949638,4.62058239300263,10.1630715389454,"Zelensky"
"983",2018-01-03,7.36685510447947,4.58461538601064,10.1413591715121,"Zelensky"
"984",2018-01-04,7.35316475349429,4.55415159641329,10.1564886669305,"Zelensky"
"985",2018-01-05,7.35323603556537,4.54418754781207,10.1470173274409,"Zelensky"
"986",2018-01-06,7.34084111413606,4.50063853390678,10.1403685332858,"Zelensky"
"987",2018-01-07,7.33496081972705,4.46422810678382,10.1431037949665,"Zelensky"
"988",2018-01-08,7.31633639526741,4.42710868035581,10.1522237281727,"Zelensky"
"989",2018-01-09,7.30243192867348,4.39397743877738,10.164300756864,"Zelensky"
"990",2018-01-10,7.28317258390736,4.38482681281725,10.1228180954314,"Zelensky"
"991",2018-01-11,7.27771877708811,4.39120729430068,10.1269682616159,"Zelensky"
